1. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
2. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
3. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
4. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
5. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
6. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
7. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
8. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
9. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
10. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
11. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
12. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
13. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
14. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
15. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
16. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
17. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
18. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
19. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
20. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
21. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
22. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
23. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
24. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
25. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
26. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
27. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
28. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
29. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
30. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
31. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
32. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
33. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
34. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
35. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
36. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
37. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
38. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
39. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
40. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
41. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
42. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
43. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
44. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
45. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
46. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
47. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
48. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
49. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
50. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
51. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
52. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
53. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
54. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
55. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
56. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
57. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
58. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
59. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
60. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
61. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
62. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
63. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
64. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
65. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
66. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
67. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
68. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
69. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
70. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
71. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
72. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
73. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
74. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
75. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
76. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
77. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
78. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
79. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
80. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
81. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
82. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
83. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
84. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
85. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
86. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
87. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
88. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
89. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
90. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
91. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
92. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
93. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
94. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
95. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
96. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
97. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
98. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
99. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
100. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
101. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
102. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
103. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
104. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
105. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
106. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
107. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
108. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
109. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
110. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
111. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
112. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
113. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
114. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
115. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
116. Independent Set (15): 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 
117. Independent Set (15): 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 
